"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"12","Frederik Andersen","CAR","35","1683.2333333333","660","582","78","0.882","2.78","-15.22","78.01","213","167","46","0.784","1.64","-7.48","175","147","28","0.840","1.00","-6.39","229","225","4","0.983","0.14","4.27","19","152","33.60","18.08"
"8","Calvin Pickard","EDM","16","713.81666666667","326","286","40","0.877","3.36","-8.99","34.03","89","65","24","0.730","2.02","-7.90","109","97","12","0.890","1.01","1.46","113","109","4","0.965","0.34","0.08","24","59","32.26","16.95"
"41","Adin Hill","VGK","27","1232.2","455","399","56","0.877","2.73","-12.72","43.18","120","90","30","0.750","1.46","-8.30","103","86","17","0.835","0.83","-4.28","199","190","9","0.955","0.44","-1.81","25","73","37.82","18.54"
"11","Petr Mrazek","ANA","10","406.83333333333","191","167","24","0.874","3.54","-5.83","19.11","54","42","12","0.778","1.77","-2.23","56","46","10","0.821","1.47","-3.09","69","67","2","0.971","0.29","0.49","8","37","35.54","18.33"
"66","Samuel Ersson","PHI","34","1532.6333333333","556","486","70","0.874","2.74","-17.12","59.33","140","109","31","0.779","1.21","-5.68","153","125","28","0.817","1.10","-9.11","234","223","11","0.953","0.43","-2.55","23","112","35.85","21.67"
"27","Spencer Martin","NYR","6","230.63333333333","109","95","14","0.872","3.64","-3.63","10.28","26","19","7","0.731","1.82","-2.30","29","23","6","0.793","1.56","-2.42","50","49","1","0.980","0.26","0.81","6","22","37.13","18.79"
"84","Carl Lindbom","VGK","8","379.11666666667","138","120","18","0.870","2.85","-4.87","13.71","33","22","11","0.667","1.74","-5.03","41","36","5","0.878","0.79","0.06","57","55","2","0.965","0.32","0.06","6","32","33.66","19.17"
"80","Leevi Meriläinen","OTT","20","868.55","351","305","46","0.869","3.18","-12.62","35","103","80","23","0.777","1.59","-4.37","75","61","14","0.813","0.97","-4.74","151","142","9","0.940","0.62","-3.55","20","78","36.58","22.28"
"69","Mads Sogaard","OTT","2","69.15","28","24","4","0.857","3.47","-1.34","2.42","8","7","1","0.875","0.87","0.45","7","6","1","0.857","0.87","-0.14","11","9","2","0.818","1.74","-1.60","3","5","41.07","41.25"
"89","Thomas Milic","WPG","3","118.63333333333","55","47","8","0.855","4.05","-2.77","4.84","12","10","2","0.833","1.01","0.17","15","10","5","0.667","2.53","-3.15","27","26","1","0.963","0.51","-0.03","2","10","35.36","26.75"
"58","Jiri Patera","VAN","1","39.216666666667","32","27","5","0.844","7.65","-1.96","2.6","11","9","2","0.818","3.06","-0.01","7","5","2","0.714","3.06","-1.14","13","12","1","0.923","1.53","-0.53","0","4","30.34","19.40"
"95","Vyacheslav Buteyets","ANA","1","16.766666666667","12","10","2","0.833","7.16","-0.86","0.97","3","3","0","1.000","0.00","0.54","3","3","0","1.000","0.00","0.37","6","4","2","0.667","7.16","-1.78","2","1","27.83","27.50"
"85","Aleksei Kolosov","PHI","4","101.61666666667","40","33","7","0.825","4.13","-3.20","2.95","7","5","2","0.714","1.18","-0.73","11","8","3","0.727","1.77","-1.64","19","17","2","0.895","1.18","-1.31","0","5","37.25","22.71"
"32","Brandon Halverson","T.B","2","49.466666666667","17","14","3","0.824","3.64","-1.38","1.59","4","4","0","1.000","0.00","0.72","5","3","2","0.600","2.43","-1.38","7","6","1","0.857","1.21","-0.75","0","1","34.71","36.00"
"56","Cayden Primeau","TOR","3","150.13333333333","65","53","12","0.815","4.80","-5.82","4.77","13","9","4","0.692","1.60","-1.65","21","16","5","0.762","2.00","-2.41","29","26","3","0.897","1.20","-1.95","4","11","36.40","28.00"
"13","Laurent Brossoit","S.J","1","50.266666666667","20","16","4","0.800","4.77","-2.10","3.22","4","3","1","0.750","1.19","-0.28","9","7","2","0.778","2.39","-0.89","5","4","1","0.800","1.19","-0.82","0","6","38.40","18.50"
"23","Marcus Hogberg","NYI","1","10.366666666667","4","2","2","0.500","11.58","-1.62","0.29","1","0","1","0.000","5.79","-0.82","2","1","1","0.500","5.79","-0.75","1","1","0","1.000","0.00","0.04","0","0","27.50","20.00"
